Data;Número;Histórico;Débito
14/01/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  399742 FOR. VALMIR CAVALCANTE  DANTAS ME ;317,30
14/01/2019;914;DESCONTO OBTIDO CONF. NF Nº 399742  FOR. VALMIR CAVALCANTE DANTAS ME ;0,02
21/01/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  401248 FOR. VALMIR CAVALCANTE  DANTAS ME ;511,00
21/01/2019;914;DESCONTO OBTIDO CONF. NF Nº 401248  FOR. VALMIR CAVALCANTE DANTAS ME ;0,03
22/01/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  402021 FOR. VALMIR CAVALCANTE  DANTAS ME ;204,50
22/01/2019;914;DESCONTO OBTIDO CONF. NF Nº 402021  FOR. VALMIR CAVALCANTE DANTAS ME ;0,01
31/01/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  403535 FOR. VALMIR CAVALCANTE  DANTAS ME ;218,22
31/01/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  402615 FOR. VALMIR CAVALCANTE  DANTAS ME ;475,13
05/02/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  404564 FOR. VALMIR CAVALCANTE  DANTAS ME ;351,14
11/02/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  405427 FOR. VALMIR CAVALCANTE  DANTAS ME ;437,21
12/02/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  406055 FOR. VALMIR CAVALCANTE  DANTAS ME ;255,00
12/02/2019;914;DESCONTO OBTIDO CONF. NF Nº 406055  FOR. VALMIR CAVALCANTE DANTAS ME ;0,02
19/02/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  408257 FOR. VALMIR CAVALCANTE  DANTAS ME ;553,16
22/02/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  409104 FOR. VALMIR CAVALCANTE  DANTAS ME ;127,50
22/02/2019;914;DESCONTO OBTIDO CONF. NF Nº 409104  FOR. VALMIR CAVALCANTE DANTAS ME ;0,01
06/03/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  409763 FOR. VALMIR CAVALCANTE  DANTAS ME ;563,90
06/03/2019;914;DESCONTO OBTIDO CONF. NF Nº 409763  FOR. VALMIR CAVALCANTE DANTAS ME ;0,05
06/03/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  410363 FOR. VALMIR CAVALCANTE  DANTAS ME ;287,50
06/03/2019;914;DESCONTO OBTIDO CONF. NF Nº 410363  FOR. VALMIR CAVALCANTE DANTAS ME ;0,01
11/03/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  411043 FOR. VALMIR CAVALCANTE  DANTAS ME ;255,00
11/03/2019;914;DESCONTO OBTIDO CONF. NF Nº 411043  FOR. VALMIR CAVALCANTE DANTAS ME ;0,02
19/03/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  413142 FOR. VALMIR CAVALCANTE  DANTAS ME ;494,00
19/03/2019;914;DESCONTO OBTIDO CONF. NF Nº 413142  FOR. VALMIR CAVALCANTE DANTAS ME ;0,01
26/03/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  414505 FOR. VALMIR CAVALCANTE  DANTAS ME ;504,74
01/04/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  415785 FOR. VALMIR CAVALCANTE  DANTAS ME ;539,50
01/04/2019;914;DESCONTO OBTIDO CONF. NF Nº 415785  FOR. VALMIR CAVALCANTE DANTAS ME ;0,05
09/04/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  416543 FOR. VALMIR CAVALCANTE  DANTAS ME ;523,20
09/04/2019;914;DESCONTO OBTIDO CONF. NF Nº 416543  FOR. VALMIR CAVALCANTE DANTAS ME ;0,05
12/04/2019;914;PAGAMENTO À VISTA CONF NF Nº 423585  FOR. VALMIR CAVALCANTE DANTAS ME ;0,04
15/04/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  418062 FOR. VALMIR CAVALCANTE  DANTAS ME ;237,90
15/04/2019;914;DESCONTO OBTIDO CONF. NF Nº 418062  FOR. VALMIR CAVALCANTE DANTAS ME ;0,02
22/04/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  419674 FOR. VALMIR CAVALCANTE  DANTAS ME ;368,84
29/04/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  421030 FOR. VALMIR CAVALCANTE  DANTAS ME ;507,30
29/04/2019;914;DESCONTO OBTIDO CONF. NF Nº 421030  FOR. VALMIR CAVALCANTE DANTAS ME ;0,03
06/05/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  422311 FOR. VALMIR CAVALCANTE  DANTAS ME ;411,40
14/05/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  423585 FOR. VALMIR CAVALCANTE  DANTAS ME ;326,30
20/05/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  424816 FOR. VALMIR CAVALCANTE  DANTAS ME ;354,33
26/05/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  426075 FOR. VALMIR CAVALCANTE  DANTAS ME ;0,04
28/05/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  426075 FOR. VALMIR CAVALCANTE  DANTAS ME ;425,00
03/06/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  427192 FOR. VALMIR CAVALCANTE  DANTAS ME ;272,30
10/06/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  427968 FOR. VALMIR CAVALCANTE  DANTAS ME ;301,20
18/06/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  429793 FOR. VALMIR CAVALCANTE  DANTAS ME ;604,44
25/06/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  431013 FOR. VALMIR CAVALCANTE  DANTAS ME ;212,50
02/07/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  432234 FOR. VALMIR CAVALCANTE  DANTAS ME ;434,00
08/07/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  433023 FOR. VALMIR CAVALCANTE  DANTAS ME ;260,70
09/07/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  433496 FOR. VALMIR CAVALCANTE  DANTAS ME ;133,21
16/07/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  434788 FOR. VALMIR CAVALCANTE  DANTAS ME ;625,71
22/07/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  435936 FOR. VALMIR CAVALCANTE  DANTAS ME ;127,50
29/07/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  437025 FOR. VALMIR CAVALCANTE  DANTAS ME ;399,60
06/08/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  438290 FOR. VALMIR CAVALCANTE  DANTAS ME ;340,03
12/08/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  439372 FOR. VALMIR CAVALCANTE  DANTAS ME ;506,64
13/08/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  440002 FOR. VALMIR CAVALCANTE  DANTAS ME ;133,21
20/08/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  441299 FOR. VALMIR CAVALCANTE  DANTAS ME ;388,20
20/08/2019;914;DESCONTO OBTIDO CONF. NF Nº 441299  FOR. VALMIR CAVALCANTE DANTAS ME ;0,04
27/08/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  442762 FOR. VALMIR CAVALCANTE  DANTAS ME ;335,84
02/09/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  443596 FOR. VALMIR CAVALCANTE  DANTAS ME ;404,13
10/09/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  444681 FOR. VALMIR CAVALCANTE  DANTAS ME ;368,82
16/09/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  446089 FOR. VALMIR CAVALCANTE  DANTAS ME ;303,20
24/09/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  447943 FOR. VALMIR CAVALCANTE  DANTAS ME ;387,62
30/09/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  448634 FOR. VALMIR CAVALCANTE  DANTAS ME ;311,20
30/09/2019;914;DESCONTO OBTIDO CONF. NF Nº 448634  FOR. VALMIR CAVALCANTE DANTAS ME ;0,02
01/10/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  449133 FOR. VALMIR CAVALCANTE  DANTAS ME ;127,50
07/10/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  450381 FOR. VALMIR CAVALCANTE  DANTAS ME ;564,73
14/10/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  451483 FOR. VALMIR CAVALCANTE  DANTAS ME ;425,00
21/10/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  452825 FOR. VALMIR CAVALCANTE  DANTAS ME ;192,80
28/10/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  454508 FOR. VALMIR CAVALCANTE  DANTAS ME ;448,73
04/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  117209 FOR. TRES CORACOES ALIMENTOS  SA ;374,83
05/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  116416 FOR. TRES CORACOES ALIMENTOS  SA ;66,94
11/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  117209 FOR. TRES CORACOES ALIMENTOS  SA ;251,79
15/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  118942 FOR. TRES CORACOES ALIMENTOS  SA ;138,19
15/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  118946 FOR. TRES CORACOES ALIMENTOS  SA ;3.062,10
19/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  118942 FOR. TRES CORACOES ALIMENTOS  SA ;138,19
19/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  119758 FOR. TRES CORACOES ALIMENTOS  SA ;2.533,31
19/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  118946 FOR. TRES CORACOES ALIMENTOS  SA ;3.062,11
19/10/2018;916;DESCONTO OBTIDO CONF. NF Nº 118946  FOR. TRES CORACOES ALIMENTOS SA ;0,01
26/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  118946 FOR. TRES CORACOES ALIMENTOS  SA ;3.062,20
26/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  118942 FOR. TRES CORACOES ALIMENTOS  SA ;138,18
26/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  119758 FOR. TRES CORACOES ALIMENTOS  SA ;2.533,31
26/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  120374 FOR. TRES CORACOES ALIMENTOS  SA ;7.849,92
26/10/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  120375 FOR. TRES CORACOES ALIMENTOS  SA ;1.571,52
01/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  119758 FOR. TRES CORACOES ALIMENTOS  SA ;2.533,38
01/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  120374 FOR. TRES CORACOES ALIMENTOS  SA ;7.849,92
01/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  120375 FOR. TRES CORACOES ALIMENTOS  SA ;1.571,52
09/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  120374 FOR. TRES CORACOES ALIMENTOS  SA ;7.850,16
09/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  120375 FOR. TRES CORACOES ALIMENTOS  SA ;1.571,58
09/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  122164 FOR. TRES CORACOES ALIMENTOS  SA ;5.130,02
13/11/2018;916;PAGAMENTO À VISTA CONF NF Nº 124651  FOR. TRES CORACOES ALIMENTOS SA ;315,13
16/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  122164 FOR. TRES CORACOES ALIMENTOS  SA ;5.130,02
16/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  122700 FOR. TRES CORACOES ALIMENTOS  SA ;69,17
22/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  123776 FOR. TRES CORACOES ALIMENTOS  SA ;330,20
23/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  122700 FOR. TRES CORACOES ALIMENTOS  SA ;69,17
23/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  122164 FOR. TRES CORACOES ALIMENTOS  SA ;5.130,16
29/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  123776 FOR. TRES CORACOES ALIMENTOS  SA ;330,20
30/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  124655 FOR. TRES CORACOES ALIMENTOS  SA ;8.386,25
30/11/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  122700 FOR. TRES CORACOES ALIMENTOS  SA ;69,16
06/12/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  123776 FOR. TRES CORACOES ALIMENTOS  SA ;330,20
07/12/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  124655 FOR. TRES CORACOES ALIMENTOS  SA ;8.386,25
10/12/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  124654 FOR. TRES CORACOES ALIMENTOS  SA ;2.125,00
14/12/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  124655 FOR. TRES CORACOES ALIMENTOS  SA ;8.386,50
21/12/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  127273 FOR. TRES CORACOES ALIMENTOS  SA ;476,98
28/12/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  127273 FOR. TRES CORACOES ALIMENTOS  SA ;476,98
28/12/2018;916;PAGAMENTO DE DUPLICATA REF. NF Nº  127929 FOR. TRES CORACOES ALIMENTOS  SA ;68,65
03/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  124650 FOR. TRES CORACOES ALIMENTOS  SA ;25.350,00
04/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  128514 FOR. TRES CORACOES ALIMENTOS  SA ;208,83
04/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  127273 FOR. TRES CORACOES ALIMENTOS  SA ;477,00
04/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  127929 FOR. TRES CORACOES ALIMENTOS  SA ;68,65
04/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  128491 FOR. TRES CORACOES ALIMENTOS  SA ;301,40
08/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  124654 FOR. TRES CORACOES ALIMENTOS  SA ;2.125,00
11/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  129451 FOR. TRES CORACOES ALIMENTOS  SA ;6.177,22
11/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  129636 FOR. TRES CORACOES ALIMENTOS  SA ;354,41
11/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  128514 FOR. TRES CORACOES ALIMENTOS  SA ;208,83
11/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  128491 FOR. TRES CORACOES ALIMENTOS  SA ;301,40
11/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  127929 FOR. TRES CORACOES ALIMENTOS  SA ;68,66
18/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  129451 FOR. TRES CORACOES ALIMENTOS  SA ;6.177,22
18/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  129636 FOR. TRES CORACOES ALIMENTOS  SA ;354,41
18/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  128491 FOR. TRES CORACOES ALIMENTOS  SA ;301,40
18/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  128514 FOR. TRES CORACOES ALIMENTOS  SA ;208,84
25/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  129451 FOR. TRES CORACOES ALIMENTOS  SA ;6.177,40
25/01/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  129636 FOR. TRES CORACOES ALIMENTOS  SA ;354,43
01/02/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  131233 FOR. TRES CORACOES ALIMENTOS  SA ;233,02
08/02/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  131233 FOR. TRES CORACOES ALIMENTOS  SA ;233,02
15/02/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  131233 FOR. TRES CORACOES ALIMENTOS  SA ;233,04
15/02/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  132678 FOR. TRES CORACOES ALIMENTOS  SA ;153,57
15/02/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  133156 FOR. TRES CORACOES ALIMENTOS  SA ;5.955,44
22/02/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  132678 FOR. TRES CORACOES ALIMENTOS  SA ;153,57
22/02/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  133156 FOR. TRES CORACOES ALIMENTOS  SA ;5.955,44
01/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  132678 FOR. TRES CORACOES ALIMENTOS  SA ;153,56
01/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  134403 FOR. TRES CORACOES ALIMENTOS  SA ;729,49
01/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  133156 FOR. TRES CORACOES ALIMENTOS  SA ;5.955,62
08/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  134403 FOR. TRES CORACOES ALIMENTOS  SA ;729,49
08/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  134961 FOR. TRES CORACOES ALIMENTOS  SA ;75,85
15/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  134403 FOR. TRES CORACOES ALIMENTOS  SA ;729,50
15/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  134961 FOR. TRES CORACOES ALIMENTOS  SA ;75,85
15/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  135781 FOR. TRES CORACOES ALIMENTOS  SA ;7.415,99
15/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  136046 FOR. TRES CORACOES ALIMENTOS  SA ;204,00
18/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  135105 FOR. TRES CORACOES ALIMENTOS  SA ;2.850,00
22/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  134961 FOR. TRES CORACOES ALIMENTOS  SA ;75,86
22/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  136046 FOR. TRES CORACOES ALIMENTOS  SA ;204,00
22/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  135781 FOR. TRES CORACOES ALIMENTOS  SA ;7.415,99
29/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  135781 FOR. TRES CORACOES ALIMENTOS  SA ;7.416,20
29/03/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  136046 FOR. TRES CORACOES ALIMENTOS  SA ;204,00
01/04/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  137239 FOR. TRES CORACOES ALIMENTOS  SA ;393,23
08/04/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  137239 FOR. TRES CORACOES ALIMENTOS  SA ;393,23
12/04/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  138735 FOR. TRES CORACOES ALIMENTOS  SA ;2.697,31
15/04/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  137239 FOR. TRES CORACOES ALIMENTOS  SA ;393,24
16/04/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  135105 FOR. TRES CORACOES ALIMENTOS  SA ;2.850,00
22/04/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  138735 FOR. TRES CORACOES ALIMENTOS  SA ;2.697,31
22/04/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  139916 FOR. TRES CORACOES ALIMENTOS  SA ;2.443,88
26/04/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  139916 FOR. TRES CORACOES ALIMENTOS  SA ;2.443,88
26/04/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  138735 FOR. TRES CORACOES ALIMENTOS  SA ;2.697,38
03/05/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  139916 FOR. TRES CORACOES ALIMENTOS  SA ;2.443,94
09/05/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  142572 FOR. TRES CORACOES ALIMENTOS  SA ;2.018,61
09/05/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  142184 FOR. TRES CORACOES ALIMENTOS  SA ;1.299,99
16/05/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  142572 FOR. TRES CORACOES ALIMENTOS  SA ;2.018,61
16/05/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  142184 FOR. TRES CORACOES ALIMENTOS  SA ;1.299,99
17/05/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  143362 FOR. TRES CORACOES ALIMENTOS  SA ;104,67
17/05/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  142948 FOR. TRES CORACOES ALIMENTOS  SA ;4.866,62
23/05/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  142572 FOR. TRES CORACOES ALIMENTOS  SA ;2.018,67
23/05/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  142184 FOR. TRES CORACOES ALIMENTOS  SA ;1.300,02
24/05/2019;916;PAGAMENTO DE DUPLICATA REF. NF Nº  144038 FOR. TRES CORACOES ALIMENTOS  SA ;181,48
